file,cum min,TimeOfDay,Site,hydrophone,ACI,ACI_LF,log ACI_HF,log 1-Hf,log M,dir,,ACI hi,H,sqrt H,Hf,1-Hf,M,minute,TimeOrig
62,6,3,4,6,161.3257855,41.91527835,2.067172691,-1.603183957,-3.449327792,13,,127.1549386,0.795763678,0.892055872,0.890578795,0.109421205,0.000576973,8,4
62,11,3,4,6,171.6600566,50.07060447,2.072993091,-1.284633021,-3.45108017,13,,118.8193324,0.862461154,0.928687867,0.912643032,0.087356968,0.000536442,13,4
63,16,3,4,6,162.0654946,41.68673926,2.06785003,-1.622368441,-3.471290217,13,,118.893917,0.847276878,0.920476441,0.926314671,0.073685329,0.000479102,13,4
63,21,3,4,6,168.1821337,47.38083303,2.071604652,-1.380177146,-3.479333094,13,,118.9952859,0.906790559,0.952255511,0.963917562,0.036082438,0.000406384,13,4
63,26,3,4,6,166.5555927,46.74973677,2.066737147,-1.743757906,-3.517149275,13,,120.9591633,0.852144983,0.923116993,0.935589042,0.064410958,0.000374794,13,4
64,31,3,4,6,227.7887828,55.73286586,2.222956463,-0.400820908,-3.11581659,13,,124.6491522,0.787252579,0.887272551,0.869816064,0.130183936,0.000618815,3,4
64,36,3,4,6,161.2820913,40.50025273,2.070712496,-1.371002952,-3.378630511,13,,122.4285274,0.859593822,0.927142827,0.930079017,0.069920983,0.000477791,3,4
64,41,3,4,6,165.735737,43.5146989,2.076010644,-1.139178866,-3.32511866,13,,119.4662267,0.909872832,0.953872545,0.962971273,0.037028727,0.000427246,3,4
62,1,3,4,8,175.1489352,52.36042853,2.077041571,-1.058680231,-3.539336649,13,,120.9466143,0.829956247,0.911019345,0.907331825,0.092668175,0.000452042,3,4
62,6,3,4,8,170.0307151,49.52294938,2.070244636,-1.224038909,-3.537904616,13,,136.0049682,0.672886518,0.820296604,0.721750688,0.278249312,0.002316833,8,4
62,11,3,4,8,165.430554,45.02151633,2.069594292,-1.323892901,-3.574995929,13,,122.7368074,0.706719268,0.840665967,0.755194532,0.244805468,0.002272308,8,4
63,16,3,4,8,169.9529465,47.90083542,2.071358301,-1.200750297,-3.548391616,13,,120.8678249,0.761266616,0.87250594,0.815388625,0.184611375,0.001116633,8,4
63,21,3,4,8,166.6119438,46.01103474,2.070519669,-1.368533807,-3.56083,13,,122.8781536,0.635564709,0.797223124,0.688685033,0.311314967,0.002010465,8,4
63,26,3,4,8,161.8808004,41.75431286,2.067532881,-1.302219201,-3.545655247,13,,127.7379688,0.673099787,0.820426588,0.738192488,0.261807512,0.001228929,13,4
64,31,3,4,8,173.1681472,49.04586381,2.082733877,-0.679492193,-3.243716947,13,,119.4860947,0.724747765,0.851321188,0.783078431,0.216921569,0.001327753,13,4
64,36,3,4,8,166.8591064,46.55994631,2.068868299,-0.804815702,-3.376530516,13,,117.9972509,0.800775335,0.894860511,0.8619004,0.1380996,0.000755072,13,4
64,41,3,4,8,168.2489394,47.38637549,2.070417619,-0.73356163,-3.186218922,13,,122.6753543,0.711976472,0.843786983,0.766146711,0.233853289,0.001392603,13,4
1,1,4,1,4,169.9619613,45.15677749,2.085796115,-1.096678916,-3.34505089,2,,116.696191,0.845272781,0.919387177,0.939287689,0.060712311,0.00030303,2,1
1,6,4,1,4,180.4156576,47.1200696,2.114125376,-1.272817908,-3.376530516,2,,120.3740297,0.838255361,0.915562866,0.924795168,0.075204832,0.000391483,2,1
1,11,4,1,4,176.0946264,44.5411837,2.1090396,-1.271923508,-3.354784119,2,,116.7035921,0.906433222,0.952067866,0.972974649,0.027025351,0.000336766,2,1
2,16,4,1,4,176.3321489,49.89331752,2.091479794,-1.099180185,-3.291738909,2,,119.4102399,0.793939407,0.891032775,0.912638563,0.087361437,0.000288844,2,1
2,21,4,1,4,178.7487907,48.6792746,2.103518353,-1.148870699,-3.321087566,2,,116.5275182,0.863503025,0.929248635,0.942631114,0.057368886,0.000311852,7,1
2,26,4,1,4,176.0207567,50.09179241,2.089393042,-1.095065372,-3.328855864,2,,117.4143635,0.837955461,0.915399072,0.918092737,0.081907263,0.000450611,7,1
3,31,4,1,4,171.9261882,46.0927508,2.089350483,-1.082699224,-3.350933981,2,,116.7273674,0.907662136,0.95271304,0.975064617,0.024935383,0.000355363,7,1
3,36,4,1,4,166.1237984,43.36514215,2.0790089,-1.232188681,-3.381362082,2,,117.5559556,0.851371144,0.922697753,0.94030182,0.05969818,0.000289798,7,1
3,41,4,1,4,169.4036528,46.4344155,2.079340739,-1.257726699,-3.431908624,2,,116.4910209,0.925784736,0.962177081,0.985187963,0.014812037,0.000268936,12,1
1,1,4,1,5,168.7048888,45.17504686,2.082009811,-1.335002828,-3.295403402,2,,116.9796054,0.816758388,0.903746861,0.915110407,0.084889593,0.000367165,12,1
1,6,4,1,5,168.3776754,44.9411627,2.080968334,-1.656806066,-3.37321735,2,,118.3022735,0.849618713,0.921747641,0.948076139,0.051923861,0.000353932,12,1
1,11,4,1,5,178.0453255,48.47183182,2.103156064,-1.504959389,-3.298685931,2,,117.3800505,0.862366984,0.928637165,0.952564105,0.047435895,0.000266075,12,1
2,16,4,1,5,174.3089424,49.39600755,2.086574206,-1.549080917,-3.310906121,2,,117.8086281,0.828981658,0.910484299,0.962306389,0.037693611,0.000276566,2,1
2,21,4,1,5,176.060073,51.25441206,2.0840792,-1.425861747,-3.332069119,2,,117.2027895,0.804787953,0.897099745,0.898640382,0.101359618,0.000402808,2,1
2,26,4,1,5,177.9673131,49.60337392,2.099232904,-1.63239079,-3.338116357,2,,116.909561,0.917225111,0.957718701,0.976142136,0.023857864,0.000337839,2,1
3,31,4,1,5,174.0695884,48.20658121,2.089943999,-1.532476912,-3.340604886,2,,117.8577922,0.835602535,0.914112977,0.937013177,0.062986823,0.000282884,2,1
3,36,4,1,5,175.0767224,48.72004055,2.091456819,-1.437926766,-3.344020694,2,,116.6327436,0.921208075,0.959795851,0.98491336,0.01508664,0.000265718,7,1
3,41,4,1,5,172.5873064,47.37083868,2.087928961,-1.551546788,-3.347118641,2,,117.3627458,0.842894623,0.918092927,0.929618464,0.070381536,0.000375152,7,1
1,1,4,1,6,169.9207829,46.73140434,2.079799787,-1.30947918,-3.321195827,2,,117.9246652,0.845079217,0.919281903,0.958330062,0.041669938,0.00033164,7,1
1,6,4,1,6,175.0708683,49.82306838,2.086700554,-1.258577536,-3.340604886,2,,117.6304257,0.875083307,0.935458875,0.95719779,0.04280221,0.000274897,7,1
1,11,4,1,6,173.47933,48.5165581,2.086245992,-1.440899865,-3.332959122,2,,116.2409647,0.919411705,0.958859586,0.981956263,0.018043737,0.000268936,12,1
2,16,4,1,6,165.6338635,41.14344612,2.08506322,-1.550356677,-3.329850668,2,,116.4721977,0.870111604,0.932797729,0.949748078,0.050251922,0.000339985,12,1
2,21,4,1,6,167.0208649,44.30375571,2.078338587,-1.438102738,-3.317846798,2,,116.6103628,0.914794205,0.956448747,0.981959769,0.018040231,0.000303984,12,1
2,26,4,1,6,173.1415958,43.36714833,2.103416391,-1.584807289,-3.354198625,2,,116.8242176,0.870915668,0.933228626,0.950136725,0.049863275,0.000284672,12,1
3,31,4,1,6,163.9815701,41.80344126,2.076673594,-1.626963873,-3.396188994,2,,115.4043942,0.790136092,0.888895996,0.830571583,0.169428417,0.000691175,2,1
3,36,4,1,6,169.1538921,45.25115491,2.082527762,-1.433628394,-3.333516652,2,,116.7326499,0.723230417,0.850429549,0.80116039,0.19883961,0.000644088,2,1
3,41,4,1,6,170.7504616,44.12858984,2.092361012,-1.467383012,-3.347348571,2,,167.0923101,0.479890842,0.692741541,0.602644625,0.397355375,0.00076592,2,1
1,1,4,1,8,178.8559022,50.55993076,2.097944893,-1.024856829,-3.178771509,2,,120.9856542,0.698351941,0.835674543,0.790825949,0.209174051,0.000570536,2,1
1,6,4,1,8,177.9066953,49.5799383,2.097755372,-0.992649378,-3.152690835,2,,116.5010896,0.896756969,0.946972528,0.932905019,0.067094981,0.000474095,7,1
1,11,4,1,8,168.9487991,43.52256689,2.088209792,-1.216584483,-3.298583138,2,,116.6233671,0.743494953,0.862261534,0.874761892,0.125238108,0.000507832,7,1
2,16,4,1,8,175.2515814,47.09654249,2.097426384,-0.966894063,-3.110709505,2,,117.6826653,0.8983582,0.947817598,0.957440448,0.042559552,0.000418186,7,1
2,21,4,1,8,175.0661998,47.51594639,2.095960699,-0.954020227,-3.141145318,2,,117.1839949,0.720430675,0.848781877,0.843258392,0.156741608,0.000420213,7,1
2,26,4,1,8,168.72749,45.26973185,2.081299755,-1.344986203,-3.398126795,2,,116.7237856,0.875619029,0.935745173,0.917884465,0.082115535,0.000546575,12,1
3,31,4,1,8,180.6392887,54.56041991,2.087564447,-1.117415001,-3.390553938,2,,116.8201698,0.856012832,0.925209615,0.922537145,0.077462855,0.000484347,12,1
3,36,4,1,8,182.741475,52.13990845,2.10486742,-1.11750275,-3.208439168,2,,119.1271204,0.853777926,0.924001042,0.927419303,0.072580697,0.000473022,12,1
3,41,4,1,8,178.8925466,53.37188679,2.088328717,-1.034070367,-3.34505089,2,,117.6027885,0.725728093,0.851896762,0.815312131,0.184687869,0.0006513,12,1
17,1,4,2,4,165.2513326,45.466255,2.067550065,-1.142786655,-3.345394191,6,,126.3659385,0.875219741,0.935531796,0.913290245,0.086709755,0.001076102,2,2
17,6,4,2,4,163.147178,43.55567633,2.066381654,-1.297144365,-3.418811792,6,,125.972386,0.87093541,0.933239203,0.901140526,0.098859474,0.002746582,2,2
17,11,4,2,4,170.9934991,51.1297519,2.067492159,-1.130550853,-3.389663549,6,,125.4291171,0.833482664,0.912952717,0.862356565,0.137643435,0.003737211,2,2
18,16,4,2,4,169.4098703,48.08479387,2.06988199,-1.214045359,-3.389918217,6,,124.7320864,0.841973063,0.917590902,0.870340609,0.129659391,0.003018022,2,2
18,21,4,2,4,167.3661226,47.65405134,2.067768511,-1.228346564,-3.38864956,6,,124.8390469,0.879816471,0.937985326,0.91458027,0.08541973,0.000840306,7,2
18,26,4,2,4,167.2948538,47.20595748,2.068185089,-1.08610957,-3.344364141,6,,128.7439993,0.850908918,0.922447244,0.880327836,0.119672164,0.003206372,7,2
19,31,4,2,4,165.4904655,45.72756707,2.067358958,-1.194095836,-3.387763063,6,,122.9656225,0.830870542,0.911521005,0.861798545,0.138201455,0.00374639,7,2
19,36,4,2,4,160.9056482,40.96910405,2.068006803,-1.249720407,-3.370049399,6,,123.416186,0.83497668,0.913770584,0.866606094,0.133393906,0.003248453,7,2
19,41,4,2,4,165.6698059,45.98861889,2.067029328,-1.088250093,-3.31409532,6,,126.1732646,0.875577204,0.935722824,0.908477574,0.091522426,0.001045108,12,2
17,1,4,2,5,166.9728937,47.00408592,2.068337535,-1.303048389,-3.353730602,6,,124.5175016,0.871993389,0.933805863,0.897303592,0.102696408,0.002731919,12,2
17,6,4,2,5,163.4208788,43.50720581,2.067354572,-1.379644635,-3.371143306,6,,123.1457387,0.842381942,0.917813675,0.874035111,0.125964889,0.003594875,12,2
17,11,4,2,5,167.1089884,46.93598433,2.069108723,-1.381589142,-3.375422973,6,,123.6203793,0.830132354,0.911115994,0.858875186,0.141124814,0.003175855,12,2
18,16,4,2,5,162.8507617,42.28663311,2.07113432,-1.226518238,-3.281323964,6,,123.8282005,0.872633635,0.934148615,0.904056425,0.095943575,0.001031876,2,2
